NomMunicipio;Numero_Usinas;Potencia_Instalada_MW
Teresina;31380;243.60272999999998
Parnaíba;4232;27.467119999999998
Picos;3474;26.391959999999997
Floriano;2410;16.185670000000002
Piripiri;1692;9.77297
Campo Maior;1392;9.86793
Oeiras;1307;7.889810000000001
Altos;903;7.052020000000001
Piracuruca;882;6.201
São Raimundo Nonato;684;5.04467
Bom Jesus;586;6.53747
José De Freitas;571;4.47706
Esperantina;550;3.9907799999999995
Luís Correia;543;4.64204
Valença Do Piauí;513;4.0281199999999995
Paulistana;498;3.6796100000000003
Barras;491;3.489
Uruçuí;467;5.65179
Canto Do Buriti;465;3.34101
São João Do Piauí;462;3.36472
União;440;3.59892
Pedro Ii;421;2.68225
Cocal;388;2.2846599999999997
Água Branca;374;3.13038
Guadalupe;314;1.98506
Batalha;313;1.9919299999999998
Jaicós;294;1.9694
Castelo Do Piauí;282;2.01399
Luzilândia;278;1.86462
Corrente;273;2.10686
Simplício Mendes;269;1.7348800000000002
Francisco Santos;260;1.38744
Demerval Lobão;251;2.22787
Inhuma;242;1.57147
Itaueira;224;1.3901100000000002
Fronteiras;221;1.1712
Buriti Dos Lopes;213;1.39266
Itainópolis;209;1.50085
São Miguel Do Tapuio;195;1.4800300000000002
Amarante;194;1.43888
Simões;188;1.07881
Pio Ix;186;1.1480100000000002
Alto Longá;184;1.70225
Sussuapara;181;1.42968
Miguel Alves;179;1.2420499999999999
Cristino Castro;173;1.2183
Cajueiro Da Praia;170;1.3514499999999998
Alagoinha Do Piauí;166;0.9196700000000001
Brasileira;166;0.74846
São Pedro Do Piauí;152;1.2759399999999999
Regeneração;149;1.27796
Cocal Dos Alves;147;0.7834500000000001
Elesbão Veloso;144;1.1510900000000002
Dom Expedito Lopes;144;1.06955
Ipiranga Do Piauí;142;0.9713099999999999
São José Do Divino;135;0.83141
Geminiano;135;1.18356
Jacobina Do Piauí;132;0.9533899999999998
São Julião;130;0.77247
Monsenhor Hipólito;128;0.76246
Acauã;127;0.7697200000000002
Capitão De Campos;126;0.88173
Isaías Coelho;125;0.65528
Baixa Grande Do Ribeiro;125;3.9519500000000005
Campinas Do Piauí;125;0.7231899999999999
Angical Do Piauí;125;0.8326899999999999
Nazaré Do Piauí;123;0.8620599999999999
Queimada Nova;120;0.7172000000000001
Cabeceiras Do Piauí;116;0.65588
Palmeirais;111;0.89162
Santa Cruz Do Piauí;111;0.8939699999999999
Colônia Do Piauí;110;0.74801
Beneditinos;108;0.6993800000000001
Betânia Do Piauí;105;0.6930899999999999
São João Da Serra;104;0.74245
Brejo Do Piauí;103;0.72312
Bertolínia;102;0.77453
Curimatá;100;0.70754
Santo Antônio De Lisboa;100;0.7254400000000001
Bocaina;96;0.5248699999999998
Gilbués;96;0.7788600000000001
Conceição Do Canindé;94;0.60427
Nossa Senhora De Nazaré;94;0.59608
Floresta Do Piauí;94;0.46326999999999996
São Gonçalo Do Piauí;93;0.6242000000000001
Santa Rosa Do Piauí;92;0.5346199999999999
Anísio De Abreu;90;0.5610299999999999
Novo Oriente Do Piauí;90;0.60216
Manoel Emídio;89;0.5868000000000001
Rio Grande Do Piauí;89;0.58269
Monsenhor Gil;87;0.6501
Lagoa Alegre;87;0.6816
Sebastião Leal;86;1.9891100000000002
Pimenteiras;86;0.7684300000000001
Domingos Mourão;86;0.43210000000000004
São Francisco Do Piauí;79;0.48077000000000003
Lagoa Do Piauí;77;1.24804
Caracol;76;0.47096000000000005
Paes Landim;76;0.5818599999999999
Campo Grande Do Piauí;76;0.5323300000000001
Francisco Ayres;74;0.43676
Matias Olímpio;73;0.52228
Assunção Do Piauí;73;0.43037000000000003
Santo Inácio Do Piauí;73;0.44435
Colônia Do Gurguéia;72;0.6447
Joaquim Pires;71;0.4313700000000001
Caraúbas Do Piauí;70;0.49893999999999994
Monte Alegre Do Piauí;69;0.9388600000000001
São João Da Fronteira;68;0.32510999999999995
São José Do Piauí;68;0.49645999999999996
Sigefredo Pacheco;68;0.48754000000000003
Porto;68;0.5317699999999999
Ilha Grande;65;0.42
Socorro Do Piauí;65;0.36087
Madeiro;64;0.45063
Palmeira Do Piauí;64;0.57498
Padre Marcos;64;0.41773000000000005
Landri Sales;64;0.5054099999999999
Dom Inocêncio;63;0.4542700000000001
Alegrete Do Piauí;62;0.41071
Lagoa Do Barro Do Piauí;61;0.45604
Bom Princípio Do Piauí;60;0.34619
Aroazes;60;0.50142
Santana Do Piauí;60;0.37175
Boqueirão Do Piauí;60;0.39078
Wall Ferraz;60;0.43571000000000004
Patos Do Piauí;59;0.40665999999999997
Flores Do Piauí;58;0.34082999999999997
Jerumenha;57;0.46859
Agricolândia;56;0.35751
Jatobá Do Piauí;56;0.40343
Redenção Do Gurguéia;56;0.4561
Coivaras;56;0.6333799999999999
São Félix Do Piauí;55;0.35003999999999996
Avelino Lopes;55;0.42018
Parnaguá;54;0.40656
Pavussu;54;0.33071
São Miguel Do Fidalgo;54;0.31238
Barro Duro;53;0.39188
Dirceu Arcoverde;53;0.30534
Várzea Grande;53;0.31588
São João Da Canabrava;52;0.33843999999999996
Francinópolis;52;0.29742999999999997
Caldeirão Grande Do Piauí;51;0.40888
Eliseu Martins;50;0.25078
Marcos Parente;50;0.49004999999999993
Marcolândia;50;0.45502
Ribeiro Gonçalves;48;1.9608599999999998
Arraial;48;0.27963
Paquetá;47;0.32443
Morro Do Chapéu Do Piauí;47;0.29893000000000003
Campo Alegre Do Fidalgo;46;0.34841
Cocal De Telha;46;0.24781
São João Da Varjota;46;0.30222000000000004
Vera Mendes;45;0.28890999999999994
Santa Luz;44;0.25859999999999994
Hugo Napoleão;44;0.33633
Antônio Almeida;44;0.21692000000000003
Milton Brandão;44;0.19991000000000003
Caxingó;44;0.30333000000000004
Joca Marques;43;0.3632
Prata Do Piauí;43;0.26463
Novo Santo Antônio;42;0.31024
Barra D'Alcântara;41;0.29783
Lagoa De São Francisco;41;0.21306
Francisco Macedo;41;0.25788
Buriti Dos Montes;41;0.27229999999999993
São Miguel Da Baixa Grande;40;0.25418999999999997
Nova Santa Rita;40;0.26471000000000006
Juazeiro Do Piauí;39;0.26183
Murici Dos Portelas;38;0.21457
Canavieira;38;0.33406
Belém Do Piauí;38;0.30549
Santa Cruz Dos Milagres;38;0.33268
João Costa;37;0.29661000000000004
Massapê Do Piauí;37;0.23015
Santa Filomena;35;0.36522
Pajeú Do Piauí;35;0.22149000000000002
Coronel José Dias;34;0.28098
Pedro Laurentino;34;0.24081
São Francisco De Assis Do Piauí;33;0.25934
São José Do Peixe;33;0.22465999999999997
Boa Hora;33;0.23085
Nossa Senhora Dos Remédios;32;0.2835
São João Do Arraial;32;0.16903
Bonfim Do Piauí;32;0.1653
Tanque Do Piauí;32;0.16839999999999997
Caridade Do Piauí;31;0.19138000000000002
Vila Nova Do Piauí;30;0.16931000000000002
Curralinhos;30;0.32138
Alvorada Do Gurguéia;30;0.29816000000000004
Bela Vista Do Piauí;30;0.18381
Olho D'Água Do Piauí;29;0.1968
Ribeira Do Piauí;29;0.19328000000000004
São Lourenço Do Piauí;28;0.19290999999999997
Barreiras Do Piauí;28;0.18588
Campo Largo Do Piauí;27;0.18897
Cristalândia Do Piauí;26;0.18085
Várzea Branca;26;0.14276
Tamboril Do Piauí;25;0.17531
Capitão Gervásio Oliveira;24;0.19832
São Luis Do Piauí;24;0.20616
Lagoa Do Sítio;24;0.1715
Cajazeiras Do Piauí;24;0.20899
Jurema;24;0.11375
Jardim Do Mulato;23;0.20681
Júlio Borges;23;0.17082000000000003
Curral Novo Do Piauí;23;0.13276
Fartura Do Piauí;23;0.1399
Porto Alegre Do Piauí;21;0.1425
Currais;19;0.34341
Santo Antônio Dos Milagres;15;0.09556
Lagoinha Do Piauí;13;0.15075999999999998
Sebastião Barros;11;0.08319
São Gonçalo Do Gurguéia;11;0.14582
São Braz Do Piauí;11;0.060880000000000004
Passagem Franca Do Piauí;9;0.16308
Morro Cabeça No Tempo;9;0.055
Riacho Frio;7;0.06103999999999999
Miguel Leão;6;0.09078
Guaribas;6;0.033
